TEMP,ISO,COUNTRY,REGION,SUBREGION,DEVELOPMENTREGIONS,Total,FEMALE,MALE,RURAL,URBAN,POOREST,SECOND,MIDDLE,FOURTH,RICHEST
,AFG,Afghanistan,SA,SA,Least Developed,58,73,43,63,45,70,64,64,54,40
,ALB,Albania,ECA,EECA,More Developed,12,12,12,16,9,27,11,11,5,5
,DZA,Algeria,MENA,MENA,Less Developed,23,18,27,27,20,38,27,22,17,10
,AGO,Angola,SSA,ESA,Least Developed,29,35,21,53,19,58,50,27,17,9
,ARM,Armenia,ECA,EECA,Less Developed,7,4,9,9,5,12,6,10,5,2
,BGD,Bangladesh,SA,SA,Least Developed,31,26,37,32,30,45,35,29,28,19
,BRB,Barbados,LAC,LAC,Less Developed,1,1,0,1,0,0,1,0,1,1
,BLR,Belarus,ECA,EECA,More Developed,1,1,1,0,1,2,0,0,2,0
,BLZ,Belize,LAC,LAC,Less Developed,33,35,30,38,24,54,43,40,13,7
,BEN,Benin,SSA,WCA,Least Developed,58,66,50,65,50,82,73,61,48,36
,BTN,Bhutan,SA,SA,Least Developed,39,40,39,44,27,55,53,42,27,24
,BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,7,6,8,7,7,15,8,8,3,3
,BRA,Brazil,LAC,LAC,Less Developed,8,7,8,12,7,12,8,7,4,1
,BFA,Burkina Faso,SSA,WCA,Least Developed,74,79,69,83,54,90,87,81,74,53
,BDI,Burundi,SSA,ESA,Least Developed,54,54,53,55,44,76,65,54,46,39
,KHM,Cambodia,EAP,EAP,Least Developed,60,62,58,65,39,79,74,65,53,35
,CMR,Cameroon,SSA,WCA,Less Developed,42,49,34,55,31,61,63,43,35,17
,CAF,Central African Republic,SSA,WCA,Least Developed,49,63,33,65,29,71,66,63,41,21
,TCD,Chad,SSA,WCA,Least Developed,64,74,54,70,42,86,81,70,54,38
,COL,Colombia,LAC,LAC,Less Developed,16,16,17,26,13,29,21,14,10,5
,COM,Comoros,SSA,ESA,Least Developed,27,29,25,30,21,45,36,24,20,17
,COG,Congo,SSA,WCA,Less Developed,25,31,20,41,19,52,39,21,14,11
,CRI,Costa Rica,LAC,LAC,Less Developed,9,8,11,11,9,20,10,3,4,9
,CUB,Cuba,LAC,LAC,Less Developed,21,18,24,26,18,34,28,23,16,5
,CIV,Côte d'Ivoire,SSA,WCA,Less Developed,56,66,46,70,47,86,62,54,50,44
,COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,29,33,24,36,21,44,34,29,26,14
,DOM,Dominican Republic,LAC,LAC,Less Developed,16,16,17,20,15,28,21,12,11,10
,EGY,Egypt,MENA,MENA,Less Developed,24,27,21,27,18,33,28,23,25,7
,SLV,El Salvador,LAC,LAC,Less Developed,35,35,35,49,25,61,46,33,20,8
,SWZ,Eswatini,SSA,ESA,Less Developed,18,24,12,16,22,22,21,15,12,17
,ETH,Ethiopia,SSA,ESA,Least Developed,54,59,48,58,41,68,67,56,48,43
,GAB,Gabon,SSA,WCA,Less Developed,18,18,18,31,16,29,23,19,13,10
,GMB,Gambia,SSA,WCA,Least Developed,50,55,44,63,40,64,59,59,45,29
,GEO,Georgia,ECA,EECA,Less Developed,11,8,14,13,10,20,7,14,14,4
,GHA,Ghana,SSA,WCA,Less Developed,25,29,21,26,23,31,26,23,23,20
,GTM,Guatemala,LAC,LAC,Less Developed,49,54,44,61,33,75,67,53,32,15
,GIN,Guinea,SSA,WCA,Least Developed,63,73,50,81,40,86,84,73,56,33
,GNB,Guinea-Bissau,SSA,WCA,Least Developed,32,36,29,35,28,33,36,34,31,27
,GUY,Guyana,LAC,LAC,Less Developed,18,12,22,19,13,32,25,14,6,8
,HTI,Haiti,LAC,LAC,Least Developed,15,15,14,18,10,29,16,13,11,5
,HND,Honduras,LAC,LAC,Less Developed,47,45,48,61,28,79,59,43,30,15
,IND,India,SA,SA,Less Developed,23,26,21,26,17,41,29,22,14,6
,IDN,Indonesia,EAP,EAP,Less Developed,20,19,22,26,15,39,27,19,12,7
,IRQ,Iraq,MENA,MENA,Less Developed,40,46,35,49,36,62,50,40,33,20
,JAM,Jamaica,LAC,LAC,Less Developed,9,7,11,11,6,16,10,9,6,1
,JOR,Jordan,MENA,MENA,Less Developed,20,16,23,20,19,42,27,17,10,6
,KAZ,Kazakhstan,ECA,EECA,Less Developed,3,2,3,4,1,2,4,2,1,3
,KEN,Kenya,SSA,ESA,Less Developed,10,11,9,10,12,16,9,7,9,10
,KIR,Kiribati,EAP,EAP,Least Developed,39,30,46,42,36,53,37,42,41,24
,KGZ,Kyrgyzstan,ECA,EECA,Less Developed,11,13,10,13,9,20,11,12,10,4
,LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,38,42,35,46,19,68,50,38,23,11
,LSO,Lesotho,SSA,ESA,Least Developed,36,28,43,43,21,59,47,33,28,11
,LBR,Liberia,SSA,WCA,Least Developed,27,35,20,38,22,50,36,31,26,13
,MDG,Madagascar,SSA,ESA,Least Developed,66,67,65,72,47,89,84,74,59,32
,MWI,Malawi,SSA,ESA,Least Developed,29,36,23,31,18,45,38,32,23,17
,MDV,Maldives,SA,SA,Less Developed,25,23,27,37,12,42,36,25,12,12
,MLI,Mali,SSA,WCA,Least Developed,75,80,70,83,53,94,89,84,72,47
,MRT,Mauritania,SSA,WCA,Least Developed,58,60,56,72,45,82,74,58,52,31
,MNG,Mongolia,EAP,EAP,Less Developed,11,5,15,19,7,25,7,8,3,8
,MNE,Montenegro,ECA,EECA,More Developed,8,6,9,12,5,25,5,6,1,1
,MOZ,Mozambique,SSA,ESA,Least Developed,53,63,43,66,35,76,72,68,51,21
,MMR,Myanmar,EAP,EAP,Least Developed,52,49,54,58,35,73,60,53,43,24
,NAM,Namibia,SSA,ESA,Less Developed,34,35,32,35,32,39,43,35,36,18
,NPL,Nepal,SA,SA,Least Developed,15,15,15,17,14,20,18,15,12,7
,NER,Niger,SSA,WCA,Least Developed,86,91,79,95,58,99,97,97,92,62
,NGA,Nigeria,SSA,WCA,Less Developed,33,34,31,47,14,75,46,24,10,6
,MKD,North Macedonia,ECA,EECA,More Developed,12,12,13,11,13,29,12,8,3,5
,PAK,Pakistan,SA,SA,Less Developed,46,54,38,54,31,75,57,45,31,14
,PAN,Panama,LAC,LAC,Less Developed,20,17,23,31,14,39,27,20,11,1
,PRY,Paraguay,LAC,LAC,Less Developed,26,26,26,37,19,38,30,25,19,12
,PER,Peru,LAC,LAC,Less Developed,16,16,15,21,13,30,17,13,13,4
,PHL,Philippines,EAP,EAP,Less Developed,9,4,13,10,8,21,10,9,3,2
,MDA,Republic of Moldova,ECA,EECA,More Developed,25,20,30,32,10,60,38,25,8,5
,RWA,Rwanda,SSA,ESA,Least Developed,59,59,58,59,56,72,65,61,53,51
,LCA,Saint Lucia,LAC,LAC,Less Developed,17,14,20,17,20,21,23,27,16,0
,WSM,Samoa,EAP,EAP,Less Developed,20,13,25,21,13,28,26,16,17,10
,STP,Sao Tome and Principe,SSA,WCA,Least Developed,17,16,18,18,16,36,18,15,12,2
,SEN,Senegal,SSA,WCA,Least Developed,55,56,53,69,40,79,62,57,49,33
,SRB,Serbia,ECA,EECA,More Developed,4,4,4,7,1,18,0,3,0,0
,SLE,Sierra Leone,SSA,WCA,Least Developed,36,40,31,54,21,66,55,39,26,15
,ZAF,South Africa,SSA,ESA,Less Developed,16,17,15,15,16,26,14,17,12,7
,SSD,South Sudan,SSA,ESA,Least Developed,60,68,51,66,44,82,77,68,49,38
,LKA,Sri Lanka,SA,SA,Less Developed,19,16,23,19,19,31,21,21,12,8
,PSE,State of Palestine,MENA,MENA,Less Developed,22,12,30,28,20,32,18,26,22,13
,SDN,Sudan,SSA,ESA,Least Developed,32,36,29,39,17,46,42,40,22,9
,SUR,Suriname,LAC,LAC,Less Developed,24,18,30,35,20,42,29,21,16,10
,TJK,Tajikistan,ECA,EECA,Less Developed,28,37,18,28,27,30,25,33,25,25
,THA,Thailand,EAP,EAP,Less Developed,18,11,25,20,15,33,22,22,11,2
,TLS,Timor-Leste,EAP,EAP,Least Developed,17,14,19,19,12,26,23,18,14,6
,TGO,Togo,SSA,WCA,Least Developed,30,40,20,32,27,38,30,30,29,24
,TON,Tonga,EAP,EAP,Less Developed,39,29,50,40,35,48,48,36,37,24
,TTO,Trinidad and Tobago,LAC,LAC,Less Developed,10,8,12,10,10,18,9,11,6,7
,TUN,Tunisia,MENA,MENA,Less Developed,27,21,33,41,20,47,36,24,16,8
,TKM,Turkmenistan,ECA,EECA,Less Developed,1,1,1,1,1,1,0,1,0,2
,TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,11,15,8,0,11,39,3,21,16,1
,TUV,Tuvalu,EAP,EAP,Least Developed,53,37,68,66,46,76,61,55,58,24
,UGA,Uganda,SSA,ESA,Least Developed,61,68,53,62,57,73,66,57,57,54
,UKR,Ukraine,ECA,EECA,More Developed,2,1,2,4,0,6,3,0,0,0
,TZA,United Republic of Tanzania,SSA,ESA,Least Developed,78,81,74,82,70,93,87,81,72,63
,URY,Uruguay,LAC,LAC,Less Developed,21,15,27,27,21,41,8,28,19,17
,VNM,Viet Nam,EAP,EAP,Less Developed,24,22,26,27,18,49,27,22,12,6
,YEM,Yemen,MENA,MENA,Least Developed,41,54,28,48,26,66,51,41,33,21
,ZMB,Zambia,SSA,ESA,Least Developed,52,61,44,58,46,73,59,51,50,36
,ZWE,Zimbabwe,SSA,ESA,Less Developed,51,54,48,55,43,63,54,52,49,38
